"","ID","Journal","Volume","Number","Page.range","Authors","Year","Title","DOI","Abstract","journal_code","abstracts_processed"
"1",1,"The Academy of Management Annals","1","1","119-179","Adler, Paul S.",2007,"Critical Management Studies","10.1080/078559808","Critical management studies (CMS) offers a range of alternatives to mainstream management theory with a view to radically transforming management practice. The common core is deep skepticism regarding the moral defensibility and the social and ecological sustainability of prevailing conceptions and forms of management and organization. CMS's motivating concern is neither the personal failures of individual managers nor the poor management of specific firms, but the social injustice and environmental destructiveness of the broader social and economic systems that these managers and firms serve and reproduce. This chapter reviews CMS's progress, main themes, theoretical and epistemological premises, and main projects; we also identify some problems and make some proposals. Our aim is to provide an accessible overview of a growing movement in management studies.","ama","critical management studies cms offers a range of alternatives to mainstream management theory with a view to radically transforming management practice the common core is deep skepticism regarding the moral defensibility and the social and ecological sustainability of prevailing conceptions and forms of management and organization cms motivating concern is neither the personal failures of individual managers nor the poor management of specific firms but the social injustice and environmental destructiveness of the broader social and economic systems that these managers and firms serve and reproduce this chapter reviews cms progress main themes theoretical and epistemological premises and main projects we also identify some problems and make some proposals our aim is to provide an accessible overview of a growing movement in management studies"
"2",2,"The Academy of Management Annals","1","1","1-64","Dalton, Dan R.",2007,"The Fundamental Agency Problem and Its Mitigation","10.1080/078559806","A central tenet of agency theory is that there is potential for mischief when the interests of owners and managers diverge. In those circumstances, and for a variety of reasons, managers may be able to exact higher rents than are reasonable or than the owners of the firm would otherwise accord them. While that foundational element of agency theory is secure, other elements derived directly from agency theory are far less settled. Indeed, even after some 75 years of conceptualization and empirical research, the three principal approaches that have long been proposed to mitigate the fundamental agency problem remain contentious. Accordingly, we provide a review of the fundamental agency problem and its mitigation through independence, equity, and the market for corporate control.","ama","a central tenet of agency theory is that there is potential for mischief when the interests of owners and managers diverge in those circumstances and for a variety of reasons managers may be able to exact higher rents than are reasonable or than the owners of the firm would otherwise accord them while that foundational element of agency theory is secure other elements derived directly from agency theory are far less settled indeed even after some years of conceptualization and empirical research the three principal approaches that have long been proposed to mitigate the fundamental agency problem remain contentious accordingly we provide a review of the fundamental agency problem and its mitigation through independence equity and the market for corporate control"
"3",3,"The Academy of Management Annals","1","1","181-224","Elsbach, Kimberly D.",2007,"The Physical Environment in Organizations","10.1080/078559809","We review empirical research on the physical environment in professional, organizational work settings (i.e., offices, meeting rooms, and design work spaces) from the past several decades. This research reveals no common elements of the physical environment (e.g., enclosures and barriers in work spaces, adjustable work arrangements, personalized work spaces, and ambient surroundings) that are consistently and exclusively associated with desired outcomes in these work settings. Instead, these elements are routinely associated with both desired and undesired outcomes. Based on these findings, we suggest that understanding the role of physical environments in organizations requires an understanding of common trade-offs in organizational life. Further, we suggest that the prevalence of such trade-offs is grounded in tensions that are inherent to the functions that physical environments serve (i.e., aesthetic, instrumental, and symbolic functions). We provide an outline of these tensions and trade-offs in relation to common elements of the physical environment, and suggest that researchers consider these tensions and trade-offs in their future research.","ama","we review empirical research on the physical environment in professional organizational work settings i e offices meeting rooms and design work spaces from the past several decades this research reveals no common elements of the physical environment e g enclosures and barriers in work spaces adjustable work arrangements personalized work spaces and ambient surroundings that are consistently and exclusively associated with desired outcomes in these work settings instead these elements are routinely associated with both desired and undesired outcomes based on these findings we suggest that understanding the role of physical environments in organizations requires an understanding of common trade offs in organizational life further we suggest that the prevalence of such trade offs is grounded in tensions that are inherent to the functions that physical environments serve i e aesthetic instrumental and symbolic functions we provide an outline of these tensions and trade offs in relation to common elements of the physical environment and suggest that researchers consider these tensions and trade offs in their future research"
"4",4,"The Academy of Management Annals","1","1","225-267","Kelman, Steven",2007,"Public Administration and Organization Studies","10.1080/078559810","The study of public organizations has withered over time in mainstream organization studies research, as scholars in the field have migrated to business schools. This is so even though government organizations are an important part of the universe of organizations—the largest organizations in the world are agencies of the U.S. government. At the same time, the study of public administration, once in the mainstream of organization studies, has moved into a ghetto, separate and unequal. Centered in business schools, mainstream organization research became isomorphic to its environment—coming to focus on performance issues, which are what firms care about. Since separation, the dominant current in public administration has become isomorphic with its environment. In this case, however, this meant the field moved backward from the central reformist concern of its founders with improving government performance, and developed instead a focus on managing constraints (i.e., avoiding bad things, such as corruption or misuse of power, from occurring) in a public organization environment. Insufficient concern about performance among public administration scholars is particularly unfortunate because over the past 15 years, there has occurred a significant growth of interest among practitioners in improving government performance. The origins and consequences of these developments are discussed, and a research agenda for organization studies research that takes the public sector seriously is proposed.","ama","the study of public organizations has withered over time in mainstream organization studies research as scholars in the field have migrated to business schools this is so even though government organizations are an important part of the universe of organizations the largest organizations in the world are agencies of the u s government at the same time the study of public administration once in the mainstream of organization studies has moved into a ghetto separate and unequal centered in business schools mainstream organization research became isomorphic to its environment coming to focus on performance issues which are what firms care about since separation the dominant current in public administration has become isomorphic with its environment in this case however this meant the field moved backward from the central reformist concern of its founders with improving government performance and developed instead a focus on managing constraints i e avoiding bad things such as corruption or misuse of power from occurring in a public organization environment insufficient concern about performance among public administration scholars is particularly unfortunate because over the past years there has occurred a significant growth of interest among practitioners in improving government performance the origins and consequences of these developments are discussed and a research agenda for organization studies research that takes the public sector seriously is proposed"
"5",5,"The Academy of Management Annals","1","1","269-314","Edmondson, Amy C.",2007,"Three Perspectives on Team Learning","10.1080/078559811","The emergence of a research literature on team learning has been driven by at least two factors. First, longstanding interest in what makes organizational work teams effective leads naturally to questions about how members of newly formed teams learn to work together and how existing teams improve or adapt. Second, some have argued that teams play a crucial role in organizational learning. These interests have produced a growing and heterogeneous literature. Empirical studies of learning by small groups or teams present a variety of terms, concepts, and methods. This heterogeneity is both generative and occasionally confusing. We identify three distinct areas of research that provide insight into how teams learn to stimulate cross-area discussion and future research. We find that scholars have made progress in understanding how teams in general learn, and propose that future work should develop more precise and context-specific theories to help guide research and practice in disparate task and industry domains.","ama","the emergence of a research literature on team learning has been driven by at least two factors first longstanding interest in what makes organizational work teams effective leads naturally to questions about how members of newly formed teams learn to work together and how existing teams improve or adapt second some have argued that teams play a crucial role in organizational learning these interests have produced a growing and heterogeneous literature empirical studies of learning by small groups or teams present a variety of terms concepts and methods this heterogeneity is both generative and occasionally confusing we identify three distinct areas of research that provide insight into how teams learn to stimulate cross area discussion and future research we find that scholars have made progress in understanding how teams in general learn and propose that future work should develop more precise and context specific theories to help guide research and practice in disparate task and industry domains"
"6",6,"The Academy of Management Annals","1","1","315-386","Elfenbein, Hillary   Anger",2007,"Emotion in Organizations","10.1080/078559812","Emotion has become one of the most popular—and popularized—areas within organizational scholarship. This chapter attempts to review and bring together within a single framework the wide and often disjointed literature on emotion in organizations. The integrated framework includes processes detailed by previous theorists who have defined emotion as a sequence that unfolds chronologically. The emotion process begins with a focal individual who is exposed to an eliciting stimulus, registers the stimulus for its meaning, and experiences a feeling state and physiological changes, with downstream consequences for attitudes, behaviors, and cognitions, as well as facial expressions and other emotionally expressive cues. These downstream consequences can result in externally visible behaviors and cues that become, in turn, eliciting stimuli for interaction partners. For each stage of the emotion process, there are distinct emotion regulation processes that incorporate individual differences and group norms and that can become automatic with practice. Although research often examines these stages in relative isolation from each other, I argue that each matters largely due to its interconnectedness with the other stages. Incorporating intraindividual, individual, interpersonal, and organizational levels of analysis, this framework can be a starting point to situate, theorize, and test explicit mechanisms for the influence of emotion on organizational life.We keep coming back to feelings, I'll have time for feelings after I'm dead. Right now we're busy. (NASA Administrator Michael Griffin, speaking about the historic Independence Day 2006 launch of the space shuttle Discovery, after discussing the horror and sadness at losing the Columbia space shuttle in 2003, the worry leading up to the launch of Discovery, and the relief and pleasure at watching Discovery succeed; Boyce, 2006)","ama","emotion has become one of the most popular and popularized areas within organizational scholarship this chapter attempts to review and bring together within a single framework the wide and often disjointed literature on emotion in organizations the integrated framework includes processes detailed by previous theorists who have defined emotion as a sequence that unfolds chronologically the emotion process begins with a focal individual who is exposed to an eliciting stimulus registers the stimulus for its meaning and experiences a feeling state and physiological changes with downstream consequences for attitudes behaviors and cognitions as well as facial expressions and other emotionally expressive cues these downstream consequences can result in externally visible behaviors and cues that become in turn eliciting stimuli for interaction partners for each stage of the emotion process there are distinct emotion regulation processes that incorporate individual differences and group norms and that can become automatic with practice although research often examines these stages in relative isolation from each other i argue that each matters largely due to its interconnectedness with the other stages incorporating intraindividual individual interpersonal and organizational levels of analysis this framework can be a starting point to situate theorize and test explicit mechanisms for the influence of emotion on organizational life we keep coming back to feelings i have time for feelings after i dead right now we busy nasa administrator michael griffin speaking about the historic independence day launch of the space shuttle discovery after discussing the horror and sadness at losing the columbia space shuttle in the worry leading up to the launch of discovery and the relief and pleasure at watching discovery succeed boyce"
"7",7,"The Academy of Management Annals","1","1","387-438","Gilmartin, Mattia J.",2007,"Leadership Research in Healthcare","10.1080/078559813","This chapter's purpose is to advance leadership research in the healthcare field in particular and in organizational studies more broadly. Based on a review of 60 empirical papers, we conclude that leadership is positively and significantly associated with individual work satisfaction, turnover, and performance. Despite these important results, however, we argue that researchers are missing opportunities to develop general leadership theory in the health sector, for example, by (a) examining the role of professionals as leaders and (b) developing understanding of the role of gender in leadership. Nonetheless, we also argue that we are not likely to advance leadership research until we address barriers to collaborative, multidisciplinary studies that develop conceptual models of leadership that makes it neither heroic nor impotent.","ama","this chapter purpose is to advance leadership research in the healthcare field in particular and in organizational studies more broadly based on a review of empirical papers we conclude that leadership is positively and significantly associated with individual work satisfaction turnover and performance despite these important results however we argue that researchers are missing opportunities to develop general leadership theory in the health sector for example by a examining the role of professionals as leaders and b developing understanding of the role of gender in leadership nonetheless we also argue that we are not likely to advance leadership research until we address barriers to collaborative multidisciplinary studies that develop conceptual models of leadership that makes it neither heroic nor impotent"
"8",8,"The Academy of Management Annals","1","1","439-477","George, Jennifer M.",2007,"Creativity in Organizations","10.1080/078559814","In this chapter, I review contemporary theories and research on creativity in organizations. After discussing key definitional issues in this domain, I review the contemporary scholarly literature proceeding from the most molecular of perspectives focusing on within-individual processes to the more molar perspective of the collective creativity that can take place in work groups. While the within-individual process featured most prominently in the extant literature is intrinsic motivation, after a treatment of some fundamental issues surrounding the intrinsic motivation construct, I review research on conscious and unconscious thinking and positive and negative affect as key internal processes relevant to understanding creativity. Next, I focus on contextual influences on creativity including safety signals, creativity prompts, supervisors, leadership, and networks. Lastly, I focus on creativity in groups (from both an input and a process perspective). In closing, I reiterate a recurrent theme throughout the review. This is an exciting era for research on creativity in organizations with many intriguing questions awaiting future scholarly inquiry.","ama","in this chapter i review contemporary theories and research on creativity in organizations after discussing key definitional issues in this domain i review the contemporary scholarly literature proceeding from the most molecular of perspectives focusing on within individual processes to the more molar perspective of the collective creativity that can take place in work groups while the within individual process featured most prominently in the extant literature is intrinsic motivation after a treatment of some fundamental issues surrounding the intrinsic motivation construct i review research on conscious and unconscious thinking and positive and negative affect as key internal processes relevant to understanding creativity next i focus on contextual influences on creativity including safety signals creativity prompts supervisors leadership and networks lastly i focus on creativity in groups from both an input and a process perspective in closing i reiterate a recurrent theme throughout the review this is an exciting era for research on creativity in organizations with many intriguing questions awaiting future scholarly inquiry"
"9",9,"The Academy of Management Annals","1","1","479-511","Inkpen, Andrew C.",2007,"Learning and Strategic Alliances","10.1080/078559815","Various researchers have suggested that an important explanatory factor for the growth in strategic alliances is that alliances provide a platform for organizational learning, giving firms access to the knowledge of their partners. The notion that alliances are a vehicle for learning is the basis for an important and cross-disciplinary stream of research. This chapter examines theoretical and empirical research in the alliance learning area. We have two central objectives. The first is to integrate a large body of research by examining the key research questions addressed. The second objective is to critically examine the existing research as the basis for establishing a research agenda. Although the alliance learning area has generated a substantial amount of research interest and spawned wide-ranging types of inquiry, many important and substantive managerial issues remain underexplored.","ama","various researchers have suggested that an important explanatory factor for the growth in strategic alliances is that alliances provide a platform for organizational learning giving firms access to the knowledge of their partners the notion that alliances are a vehicle for learning is the basis for an important and cross disciplinary stream of research this chapter examines theoretical and empirical research in the alliance learning area we have two central objectives the first is to integrate a large body of research by examining the key research questions addressed the second objective is to critically examine the existing research as the basis for establishing a research agenda although the alliance learning area has generated a substantial amount of research interest and spawned wide ranging types of inquiry many important and substantive managerial issues remain underexplored"
"10",10,"The Academy of Management Annals","1","1","513-547","Berchicci, Luca",2007,"Postcards from the Edge","10.1080/078559816","Environmental issues, while of growing interest, have been outside the main focus of business scholarship. This position on the periphery may have been a good thing. It allowed scholars of business and the environment to consider unusual theories and evaluate overlooked phenomenon. In doing so, they have created a body of research providing new insights into two topics of mainstream interest: (a) the sources of competitive advantage and (b) the origin and function of self-regulatory institutions.","ama","environmental issues while of growing interest have been outside the main focus of business scholarship this position on the periphery may have been a good thing it allowed scholars of business and the environment to consider unusual theories and evaluate overlooked phenomenon in doing so they have created a body of research providing new insights into two topics of mainstream interest a the sources of competitive advantage and b the origin and function of self regulatory institutions"
